Name,Image_URL,Price,URL
Manual fertiliz...,https://farmpays.com/wp-content/uploads/2024/03/download-2024-03-22T111512.521.jpg,"₦43,000.00",https://farmpays.com/product/manual-fertilizer-applicator/
Natsoil Organic...,https://farmpays.com/wp-content/uploads/2023/08/download-2023-08-30T230147.641.jpg,"₦10,625.00",https://farmpays.com/product/natsoil-organic-fertilizer-35kg/
Multi K Absolut...,https://farmpays.com/wp-content/uploads/2023/08/download-2024-01-09T121805.391.jpg,"₦131,250.00",https://farmpays.com/product/multi-k-absolute-fertilizer/
Cocoboost (Foli...,https://farmpays.com/wp-content/uploads/2023/08/9894842_img20190724wa0038_jpegb77bfa6b2c6bef286a349f6efd1b1039-1-450x450.jpg,"₦16,873.75",https://farmpays.com/product/cocoboost-foliar-fertilizer-complex-candel/
Agri Life Agrib...,https://farmpays.com/wp-content/uploads/2023/08/download-2023-08-28T215919.449.jpg,"₦8,125.00",https://farmpays.com/product/agri-life-agriboom/
Npk Rota liquid...,https://farmpays.com/wp-content/uploads/2023/05/92ca5989-18bd-4f17-ba8b-27d6773dde33-450x450.jpg,"₦12,987.50",https://farmpays.com/product/npk-rota-liquid-10-10-10-te-fertilizer/
Agric-Zyme 3× (...,https://farmpays.com/wp-content/uploads/2023/03/download-2023-03-23T125509.541.jpg,"₦7,200.00",https://farmpays.com/product/agric-zyme-3x/
Agrovert Potass...,https://farmpays.com/wp-content/uploads/2022/08/5602c25f-c897-433a-8669-a5c2d29c9702-450x450.jpg,"₦13,000.00",https://farmpays.com/product/agrovert-potasse-fertilizer-1kg/
Haifa Bonus Fol...,https://farmpays.com/wp-content/uploads/2022/08/ddaca484-bc3a-4a73-9ce0-c4595ec5e3b5-450x450.jpg,"₦6,875.00",https://farmpays.com/product/haifa-bonus-foliar-fertilizer/
Liquid NPK Fert...,https://farmpays.com/wp-content/uploads/2022/07/Liquid-NPK-Fertilizer-Concentrate-2-767x1024-1-450x450.jpeg,"₦13,998.75",https://farmpays.com/product/liquid-npk-fertilizer-concentrate/
C-Maxi Force Fe...,https://farmpays.com/wp-content/uploads/2022/07/C-Maxi-Force-450x450.jpg,"₦2,500.00",https://farmpays.com/product/c-maxi-force-fertilizer-foliar-applied-500ml/
Biostimulant Or...,https://farmpays.com/wp-content/uploads/2022/07/5c48e024a48b412dbd246c955076598e_1611172539632-removebg-preview-1-375x450.png,"₦47,500.00",https://farmpays.com/product/biostimulant-organic-foliar-fertilizer/
Magnesium Sulph...,https://farmpays.com/wp-content/uploads/2022/06/Magnesium-sulphate-450x450.png,"₦31,250.00",https://farmpays.com/product/magnesium-sulphate-agricultural-fertilizer/
Agrovert 20-20-...,https://farmpays.com/wp-content/uploads/2022/06/WhatsApp-Image-2020-09-11-at-7.22.31-PM-450x450.jpeg,"₦14,500.00",https://farmpays.com/product/agrovert-20-20-20-foliar-fertilizer/
Yara krista SOP...,https://farmpays.com/wp-content/uploads/2022/05/6a104c72329743faa35bc7c6454af442_1611588638281-removebg-preview-375x450.png,"₦58,750.00",https://farmpays.com/product/yara-krista-sop-fertilizer-sulphate-of-potash/
Takiforce Garde...,https://farmpays.com/wp-content/uploads/2022/05/taki-removebg-preview.png,"₦23,750.00",https://farmpays.com/product/takiforce-garden-soil-with-fertilizer/
NPK 20:10:10 Ag...,https://farmpays.com/wp-content/uploads/2022/05/Tak_Agro_fert-removebg-preview-433x450.png,"₦31,250.00",https://farmpays.com/product/npk-201010-agro-fertilizer/
