Name,Image_URL,Price,URL
Presto Knapsack Sprayer (High Quality | 20L Capacity),https://afrimash.com/wp-content/uploads/2024/01/presto-sprayer.jpg,"₦25,000.00",https://afrimash.com/shop/uncategorized/presto-knapsack-sprayer-high-quality-20l-capacity/
Termex Insecticide – Chlorpyrifos 480g/lt,https://afrimash.com/wp-content/uploads/2022/11/image-2-862x1024.jpg,"₦1,499.99",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/twig-herbicide-selective-herbicide/
Twig Herbicide | Systemic Herbicide,https://afrimash.com/wp-content/uploads/2022/10/Twig-662x800.jpeg,₦800.00,https://afrimash.com/shop/shop-by-interest/maize-plantation/final-force-herbicide/
Final Force Insecticide | Systemic,https://afrimash.com/wp-content/uploads/2022/07/final-force-450x800.jpeg,"₦5,149.99",https://afrimash.com/shop/livestock-section/veterinary-products-and-services/vet-medicine/guard-force-powder-herbicide-post-emergence-100g/
Guard Force Powder Herbicide | Post-emergence |100g,https://afrimash.com/wp-content/uploads/2022/05/guardforce-825x1024.jpg,"₦4,500.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/legume-force-herbicide-post-emergence-1-litre/
Legume Force Herbicide | Post-emergence | 1 Litre | 500mls | 250 mls,https://afrimash.com/wp-content/uploads/2022/05/Legume-Force-2-819x1024.jpg,"₦12,112.50",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/powdered-force-uron-herbicide/
Powdered Force-Uron Herbicide | 1 Litre,https://afrimash.com/wp-content/uploads/2022/05/Force-uron-1-825x1024.jpg,"₦4,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/star-force-herbicide-post-emergence/
Star Force Herbicide | 250mL | 1L,https://afrimash.com/wp-content/uploads/2022/05/star-force-577x1024.jpg,"₦4,099.99",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/kachi-insecticide-250ml/
Kachi Insecticide | 250ml,https://afrimash.com/wp-content/uploads/2022/02/Kachi-576x1024.jpg,"₦8,149.99",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/zeropest-ga-biological-control-for-insects-1-litre/
"Sumec Water Pump | WP20X + Layflat Hose (100m Length, 3inches Black | Blue)",https://afrimash.com/wp-content/uploads/2022/02/hot-sale-promotion-template-Facebook-Post-1-1024x858.jpg,"₦5,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/worm-force-insecticide/
Zeropest GA Biological Control for Insects | 1 litre,https://afrimash.com/wp-content/uploads/2022/02/image-7-450x800.jpg,"₦3,200.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/tuber-force-herbicide-post-emergence/
Agrovert 30-10-10 Fertilizer |1kg,https://afrimash.com/wp-content/uploads/2022/01/agrovert-30-10-10-1024x1024.jpg,₦650.00,https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/renova-insecticide-5g-sachets/
Worm Force Insecticide | Systemic,https://afrimash.com/wp-content/uploads/2021/12/Worm-force_11zon-796x800.jpg,"₦213,750.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/motorized-knapsack-sprayer/
Tuber Force Herbicide | Post-Emergence,https://afrimash.com/wp-content/uploads/2021/12/tuber-force_11zon.jpeg,"₦13,500.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/tecamin-max-biostimulant/
Renova Insecticide | 5g Sachets,https://afrimash.com/wp-content/uploads/2020/10/7fBPXlRDgQGLrMdlBzhFSPp9z7SVc6aeV8amr8NU-1024x1024.jpeg,"₦2,500.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/metal-watering-vault-4-liters-capacity/
4 Stroke Motorized Knapsack Sprayer – 25L,https://afrimash.com/wp-content/uploads/2021/11/Motorized-knapsack-sprayer_11zon.jpg,"₦6,750.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/five-star-fungicide-250ml/
Tecamin Max Biostimulant | 1L,https://afrimash.com/wp-content/uploads/2021/11/tecamin_max_11zon.png,"₦3,400,000.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/bazuki-tricycle-knapsacks-combo/
Metal Watering Vault (4 Liters Capacity),https://afrimash.com/wp-content/uploads/2021/10/1213542-1024x1024.jpg,"₦4,200.00",https://afrimash.com/shop/afrimash-crop-section/treated-crop-seeds/cowpea-seeds-it610-2e/
FIVE STAR| FUNGICIDE | 100mL |250mL,https://afrimash.com/wp-content/uploads/2021/10/fivestar-683x1024.jpg,"₦13,799.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/durable-knapsack-sprayer-16-litres/
Bazuki Tricycle + Knapsacks + Plastic Planter (Combo),https://afrimash.com/wp-content/uploads/2021/09/baz1-1024x768.jpg,"₦7,500.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/grand-humusplus-for-soil-and-plants/
Bazuki Tricycle + Knapsacks (Combo),https://afrimash.com/wp-content/uploads/2021/09/baz1-1024x768.jpg,"₦13,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/tecnokel-amino-cab-biostimulant-calcium-boron-corrector/
Cowpea Seeds | IT610-2E | Per kg,https://afrimash.com/wp-content/uploads/2021/08/Cowpea-Seed-1-1300x731.jpg,"₦4,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/karate-insecticide-5ec-syngenta-brand/
Spray Mate Sprayer | 16 Litres (Various Brands),https://afrimash.com/wp-content/uploads/2021/05/spray-mate-1024x683-1.jpg,"₦17,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/platinum-701-f1-tomato-seeds-east-west-seed-5g-2/
Grand HumusPlus | For Soil And Plants,https://afrimash.com/wp-content/uploads/2021/01/new-humus-plus-1024x683.jpg,"₦3,950.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/champion-organic-herbicide-booster-1-liter/
Tecnokel Amino CaB (Biostimulant | Calcium & Boron Corrector),https://afrimash.com/wp-content/uploads/2020/12/Tecnokel-AminoCab-556x800.jpg,"₦7,000.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/gobara-herbicide-saro-brand-1-liter/
Karate Insecticide (5EC | Syngenta Brand),https://afrimash.com/wp-content/uploads/2020/11/karate-800x800.png,"₦2,300.00",https://afrimash.com/shop/afrimash-crop-section/plant-production-and-protection/agrochemicals/daksh-dichlorvos-100-w-v-ec-250ml/
Platinum 701 F1 Tomato Seeds (East West Seed | 5g),https://afrimash.com/wp-content/uploads/2020/10/EAST-WEST-PLATINUM-TOMATO-5-GRS-768x1024.png,"₦2,950.00",https://afrimash.com/shop/livestock-section/veterinary-products-and-services/vet-medicine/marshal-insecticide-1-liter-bottles-2/
Champion (Organic Herbicide Booster | 1 Liter),https://afrimash.com/wp-content/uploads/2020/10/champion-1-800x800.jpg,"₦4,000.00",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/presto-sprayer-multi-purpose-hand-sprayer-and-mister/
Gobara Herbicide (Saro Brand | 1 Liter),https://afrimash.com/wp-content/uploads/2020/10/Gobara-1-800x800.jpg,"₦15,999.99",https://afrimash.com/shop/agricultural-equipment-section/agricultural-equipment/watering-can-plastic-14-liters-capacity/
