Name,Image_URL,Price,URL
Z-Force Fungici...,https://farmpays.com/wp-content/uploads/2022/08/z-fforcee-450x450.webp,"₦5,200.00",https://farmpays.com/product/z-force-fungicide-mancozeb-80-wp/?attribute_size=1kg
Z-Force Fungici...,https://farmpays.com/wp-content/uploads/2022/08/z-fforcee-450x450.webp,₦950.00,https://farmpays.com/product/z-force-fungicide-mancozeb-80-wp/?attribute_size=50g
Z-Force Fungici...,https://farmpays.com/wp-content/uploads/2022/08/z-fforcee-450x450.webp,"₦1,150.00",https://farmpays.com/product/z-force-fungicide-mancozeb-80-wp/?attribute_size=100g
Z-Force Fungici...,https://farmpays.com/wp-content/uploads/2022/08/32e493fb-a91d-4c49-a781-093c84c72e47-450x450.jpg,"₦11,998.75",https://farmpays.com/product/z-force-fungicide-1kg-2/
Emzeb 80 WP Fun...,https://farmpays.com/wp-content/uploads/2022/07/Emzeb-80-WP_11zon-576x1024-1-450x450.jpeg,"₦9,373.75",https://farmpays.com/product/emzeb-80-wp-fungicide-1kg/
FungiCare Fungi...,https://farmpays.com/wp-content/uploads/2022/07/download-2023-02-23T144311.905.jpg,"₦4,375.00",https://farmpays.com/product/fungicare-fungicide-curative100ml/
Hexacal Fungici...,https://farmpays.com/wp-content/uploads/2022/07/Hexacal-450x450.jpg,"₦3,248.75",https://farmpays.com/product/hexacal-fungicide-systemic-and-contact/
Rolax (Systemic...,https://farmpays.com/wp-content/uploads/2022/07/rolax-removebg-preview-450x408.png,"₦3,123.75",https://farmpays.com/product/rolax-systemic-contact-fungicide-50g/
CocoForce Fungi...,https://farmpays.com/wp-content/uploads/2022/07/Cocoforce_11zon.png,"₦3,618.75",https://farmpays.com/product/cocoforce-fungicide-curative-50g/
Champ DP Fungic...,https://farmpays.com/wp-content/uploads/2022/06/champ-dp-450x342.jpg,"₦1,250.00",https://farmpays.com/product/champ-dp-fungicide-50g-sachet/
Zebshi Fungicid...,https://farmpays.com/wp-content/uploads/2022/06/IMG_20190806_125601_9-removebg-preview-1-e1612444016224.png,"₦9,373.75",https://farmpays.com/product/zebshi-fungicide-agro-chemical/
Z-Force Fungici...,https://farmpays.com/wp-content/uploads/2022/06/download-2023-02-22T091002.968.jpg,₦900.00,https://farmpays.com/product/z-force-fungicide-mancozeb-80-wp/
Jumper D Fungic...,https://farmpays.com/wp-content/uploads/2022/06/imgonline-com-ua-resize-c8TCOXq2gcL-1-450x450.jpg,"₦5,873.75",https://farmpays.com/product/jumper-d-fungicide/
Guardian Xtra F...,https://farmpays.com/wp-content/uploads/2022/06/download-2023-02-22T091733.036.jpg,"₦3,875.00",https://farmpays.com/product/guardian-xtra-fungicide/
Glory Agricultu...,https://farmpays.com/wp-content/uploads/2022/06/download-2023-02-22T091904.836.jpg,"₦8,311.25",https://farmpays.com/product/glory-agricultural-fungicide/
Five Star Fungi...,https://farmpays.com/wp-content/uploads/2022/06/Five-Star-Fungicide-234x450.png,"₦8,750.00",https://farmpays.com/product/five-star-fungicide/
Coco Force Fung...,https://farmpays.com/wp-content/uploads/2022/06/download-2023-02-22T092054.340.jpg,"₦4,375.00",https://farmpays.com/product/coco-force-fungicide/
Cabrio Duo Fung...,https://farmpays.com/wp-content/uploads/2022/06/Cabrio-Duo-removebg-preview-430x450.png,"₦14,998.75",https://farmpays.com/product/cabrio-duo-fungicide-250ml-basf-brand/
Agriguard (Biof...,https://farmpays.com/wp-content/uploads/2022/05/Agriguard-2-450x450.webp,"₦5,000.00",https://farmpays.com/product/agriguard/
Ultimax Plus (S...,https://farmpays.com/wp-content/uploads/2022/05/download-5.jpg,"₦2,748.75",https://farmpays.com/product/ultimax-plus-systemic-fungicide-50g-sachets/
Red Force (Fung...,https://farmpays.com/wp-content/uploads/2022/05/Agromint-Red-Force-1-scaled-removebg-preview-450x450.png,"₦2,498.75",https://farmpays.com/product/red-force-fungicide-50g-sachets-per-pack/
Maxiforce Fungi...,https://farmpays.com/wp-content/uploads/2021/03/Agromint-Maxi-force-2-scaled-1-450x450.jpg,"₦6,750.00",https://farmpays.com/product/maxiforce-fungicide/
Ridomil Gold Fu...,https://farmpays.com/wp-content/uploads/2020/12/ridomil-gold.png,"₦36,875.00",https://farmpays.com/product/ridomil-gold-fungicide-250-g-sachets/
SAAF Fungicide ...,https://farmpays.com/wp-content/uploads/2020/12/121088275_167380711714990_2575837691073105224_o-450x450.jpg,"₦9,373.75",https://farmpays.com/product/saaf-fungicide-250g-sachets/
60liters sprayi...,https://farmpays.com/wp-content/uploads/2024/03/download-2024-03-22T150538.321.jpg,"₦505,700.00",https://farmpays.com/product/60liters-spraying-machine/
Magic hose,https://farmpays.com/wp-content/uploads/2024/03/images-33.jpg,"₦18,000.00",https://farmpays.com/product/d-i-grow-organic-foliar-liquid-fertilizer/?attribute_d-i-grow-color=RED
Magic hose,https://farmpays.com/wp-content/uploads/2024/03/images-33.jpg,"₦14,000.00",https://farmpays.com/product/stainless-duplicator-with-control/?attribute_outlet=SD004-4
